Record Length,2.500000e+03,,  -0.000077000000, -36.80000,
Sample Interval,1.000000e-07,,  -0.000076900000, -36.00000,
Trigger Point,7.700000000000e+02,,  -0.000076800000, -36.00000,
,,,  -0.000076700000, -36.00000,
,,,  -0.000076600000, -36.80000,
,,,  -0.000076500000, -36.00000,
Source,CH1,,  -0.000076400000, -36.00000,
Vertical Units,V,,  -0.000076300000, -36.00000,
Vertical Scale,2.000000e+01,,  -0.000076200000, -36.80000,
Vertical Offset,-8.000000e-01,,  -0.000076100000, -36.80000,
Horizontal Units,s,,  -0.000076000000, -36.80000,
Horizontal Scale,2.500000e-05,,  -0.000075900000, -36.00000,
Pt Fmt,Y,,  -0.000075800000, -36.00000,
Yzero,0.000000e+00,,  -0.000075700000, -36.00000,
Probe Atten,1.000000e+01,,  -0.000075600000, -36.80000,
Firmware Version,FV:v6.08,,  -0.000075500000, -36.80000,
,,,-00.000075400000, -37.60000,
,,,-00.000075300000, -36.80000,
,,,-00.000075200000, -36.80000,
,,,-00.000075100000, -37.60000,
,,,-00.000075000000, -37.60000,
,,,-00.000074900000, -37.60000,
,,,-00.000074800000, -38.40000,
,,,-00.000074700000, -37.60000,
,,,-00.000074600000, -38.40000,
,,,-00.000074500000, -38.40000,
,,,-00.000074400000, -37.60000,
,,,-00.000074300000, -38.40000,
,,,-00.000074200000, -37.60000,
,,,-00.000074100000, -39.20000,
,,,-00.000074000000, -38.40000,
,,,-00.000073900000, -38.40000,
,,,-00.000073800000, -38.40000,
,,,-00.000073700000, -39.20000,
,,,-00.000073600000, -38.40000,
,,,-00.000073500000, -39.20000,
,,,-00.000073400000, -39.20000,
,,,-00.000073300000, -39.20000,
,,,-00.000073200000, -38.40000,
,,,-00.000073100000, -39.20000,
,,,-00.000073000000, -39.20000,
,,,-00.000072900000, -40.00000,
,,,-00.000072800000, -39.20000,
,,,-00.000072700000, -40.00000,
,,,-00.000072600000, -39.20000,
,,,-00.000072500000, -39.20000,
,,,-00.000072400000, -40.00000,
,,,-00.000072300000, -40.00000,
,,,-00.000072200000, -40.00000,
,,,-00.000072100000, -39.20000,
,,,-00.000072000000, -39.20000,
,,,-00.000071900000, -39.20000,
,,,-00.000071800000, -39.20000,
,,,-00.000071700000, -40.00000,
,,,-00.000071600000, -40.00000,
,,,-00.000071500000, -40.80000,
,,,-00.000071400000, -40.00000,
,,,-00.000071300000, -41.60000,
,,,-00.000071200000, -40.80000,
,,,-00.000071100000, -40.80000,
,,,-00.000071000000, -40.00000,
,,,-00.000070900000, -40.80000,
,,,-00.000070800000, -40.00000,
,,,-00.000070700000, -40.00000,
,,,-00.000070600000, -40.00000,
,,,-00.000070500000, -41.60000,
,,,-00.000070400000, -40.80000,
,,,-00.000070300000, -41.60000,
,,,-00.000070200000, -41.60000,
,,,-00.000070100000, -41.60000,
,,,-00.000070000000, -41.60000,
,,,-00.000069900000, -41.60000,
,,,-00.000069800000, -40.80000,
,,,-00.000069700000, -42.40000,
,,,-00.000069600000, -43.20000,
,,,-00.000069500000, -42.40000,
,,,-00.000069400000, -40.80000,
,,,-00.000069300000, -42.40000,
,,,-00.000069200000, -41.60000,
,,,-00.000069100000, -41.60000,
,,,-00.000069000000, -42.40000,
,,,-00.000068900000, -41.60000,
